sepal_length,sepal_width,petal_length,petal_width,species,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0081,0.963,0.0289
6.9,3.1,5.1,2.3,virginica,0.0139,0.0241,0.9619
5.1,2.5,3.0,1.1,versicolor,0.0341,0.9487,0.0172
4.4,2.9,,0.2,setosa,0.5017,0.396,0.1022
5.9,3.0,5.1,1.8,virginica,0.0132,0.2309,0.7559
5.5,3.5,1.3,0.2,setosa,0.9583,0.0238,0.0179
5.6,,3.6,1.3,versicolor,0.037,0.9517,0.0113
6.5,3.0,5.2,2.0,virginica,0.0101,0.04,0.9499
5.3,3.7,1.5,0.2,setosa,0.9651,0.0192,0.0157
5.1,3.4,1.5,,setosa,0.7666,0.1704,0.063
6.1,2.8,4.0,1.3,versicolor,0.0128,0.978,0.0092
5.5,2.4,3.7,1.0,versicolor,0.0134,0.9772,0.0094
7.7,3.0,6.1,2.3,virginica,0.0246,0.0294,0.946
6.9,3.1,4.9,1.5,versicolor,0.0202,0.7158,0.2641
6.0,2.2,5.0,1.5,versicolor,0.0213,0.5143,0.4644
